"","Contrast","GO.ID","Term","Coverage","p"
"8","NvF","GO:0023057","negative regulation of signaling","31/308 (10.06%)","7.50e-03"
"9","NvF","GO:0010648","negative regulation of cell communicatio...","31/307 (10.10%)","7.16e-03"
"10","NvF","GO:0050877","nervous system process","36/306 (11.76%)","2.40e-04"
"12","NvF","GO:0097485","neuron projection guidance","25/227 (11.01%)","5.17e-03"
"15","NvF","GO:0022604","regulation of cell morphogenesis","21/131 (16.03%)","4.62e-03"
"18","NvF","GO:0007623","circadian rhythm","16/126 (12.70%)","6.28e-03"
"20","NvF","GO:0050804","modulation of chemical synaptic transmis...","17/120 (14.17%)","1.53e-03"
"1","WvF","GO:0007166","cell surface receptor signaling pathway","106/533 (19.89%)","4.15e-03"
"2","WvF","GO:0048666","neuron development","106/512 (20.70%)","8.18e-03"
"3","WvF","GO:0016310","phosphorylation","94/483 (19.46%)","5.19e-03"
"5","WvF","GO:0000904","cell morphogenesis involved in different...","87/395 (22.03%)","4.84e-03"
"11","WvF","GO:0050877","nervous system process","62/306 (20.26%)","9.15e-03"
"13","WvF","GO:0007163","establishment or maintenance of cell pol...","39/170 (22.94%)","4.58e-03"
"16","WvF","GO:0048813","dendrite morphogenesis","31/128 (24.22%)","4.73e-03"
"4","WvN","GO:0032879","regulation of localization","66/447 (14.77%)","9.80e-04"
"6","WvN","GO:0048569","post-embryonic animal organ development","51/386 (13.21%)","2.40e-03"
"7","WvN","GO:0009886","post-embryonic animal morphogenesis","49/385 (12.73%)","6.13e-03"
"14","WvN","GO:0010256","endomembrane system organization","26/156 (16.67%)","4.45e-03"
"17","WvN","GO:0048813","dendrite morphogenesis","21/128 (16.41%)","4.27e-03"
"19","WvN","GO:0009953","dorsal/ventral pattern formation","25/126 (19.84%)","1.15e-03"
