"GO.ID","Term","Annotated","Significant","Expected","percent.coverage","elim"
"GO:0008150","biological_process",5944,968,993.78,0.162853297442799,4.6e-16
"GO:0009987","cellular process",5565,911,930.42,0.163701707097934,1.2e-08
"GO:0046578","regulation of Ras protein signal transdu...",69,24,11.54,0.347826086956522,4.3e-05
"GO:0015990","electron transport coupled proton transp...",4,4,0.67,1,0.00053
"GO:0010586","miRNA metabolic process",7,5,1.17,0.714285714285714,0.0013
"GO:0008343","adult feeding behavior",10,6,1.67,0.6,0.00148
"GO:0042752","regulation of circadian rhythm",73,21,12.2,0.287671232876712,0.00219
"GO:0097010","eukaryotic translation initiation factor...",5,4,0.84,0.8,0.00235
"GO:0007216","G protein-coupled glutamate receptor sig...",5,4,0.84,0.8,0.00235
"GO:0043052","thermotaxis",14,7,2.34,0.5,0.00238
"GO:0006417","regulation of translation",119,30,19.9,0.252100840336134,0.00287
"GO:0045887","positive regulation of synaptic growth a...",38,13,6.35,0.342105263157895,0.00288
"GO:0060213","positive regulation of nuclear-transcrib...",8,5,1.34,0.625,0.00303
"GO:0010646","regulation of cell communication",737,149,123.22,0.202170963364993,0.00333
"GO:0023051","regulation of signaling",737,149,123.22,0.202170963364993,0.00333
"GO:0042593","glucose homeostasis",35,12,5.85,0.342857142857143,0.00406
"GO:0007166","cell surface receptor signaling pathway",533,106,89.11,0.198874296435272,0.00415
"GO:0007163","establishment or maintenance of cell pol...",170,39,28.42,0.229411764705882,0.00458
"GO:0048813","dendrite morphogenesis",128,31,21.4,0.2421875,0.00473
"GO:0000904","cell morphogenesis involved in different...",395,87,66.04,0.220253164556962,0.00484
"GO:0016310","phosphorylation",483,94,80.75,0.194616977225673,0.00519
"GO:0050764","regulation of phagocytosis",9,5,1.5,0.555555555555556,0.00597
"GO:0030837","negative regulation of actin filament po...",16,7,2.68,0.4375,0.00601
"GO:1900407","regulation of cellular response to oxida...",6,4,1,0.666666666666667,0.00619
"GO:0046673","negative regulation of compound eye reti...",6,4,1,0.666666666666667,0.00619
"GO:0002807","positive regulation of antimicrobial pep...",24,9,4.01,0.375,0.00639
"GO:0031349","positive regulation of defense response",60,17,10.03,0.283333333333333,0.0066
"GO:0051239","regulation of multicellular organismal p...",633,129,105.83,0.203791469194313,0.00749
"GO:0007527","adult somatic muscle development",13,6,2.17,0.461538461538462,0.00805
"GO:0014009","glial cell proliferation",13,6,2.17,0.461538461538462,0.00805
"GO:0048666","neuron development",512,106,85.6,0.20703125,0.00818
"GO:0061057","peptidoglycan recognition protein signal...",38,12,6.35,0.315789473684211,0.00851
"GO:0007315","pole plasm assembly",52,15,8.69,0.288461538461538,0.00873
"GO:0045572","positive regulation of imaginal disc gro...",17,7,2.84,0.411764705882353,0.0089
"GO:0050877","nervous system process",306,62,51.16,0.202614379084967,0.00915
"GO:0035195","gene silencing by miRNA",34,11,5.68,0.323529411764706,0.00951
"GO:1900424","regulation of defense response to bacter...",48,14,8.03,0.291666666666667,0.01003
"GO:0050803","regulation of synapse structure or activ...",169,43,28.26,0.254437869822485,0.01108
"GO:0032989","cellular component morphogenesis",476,99,79.58,0.207983193277311,0.01139
"GO:1905952","regulation of lipid localization",44,13,7.36,0.295454545454545,0.01149
"GO:1900073","regulation of neuromuscular synaptic tra...",26,9,4.35,0.346153846153846,0.0115
"GO:0051057","positive regulation of small GTPase medi...",35,11,5.85,0.314285714285714,0.01201
"GO:0046579","positive regulation of Ras protein signa...",35,11,5.85,0.314285714285714,0.01201
"GO:0046486","glycerolipid metabolic process",131,30,21.9,0.229007633587786,0.01228
"GO:0007294","germarium-derived oocyte fate determinat...",22,8,3.68,0.363636363636364,0.01229
"GO:0009649","entrainment of circadian clock",14,6,2.34,0.428571428571429,0.0123
"GO:0031324","negative regulation of cellular metaboli...",510,96,85.27,0.188235294117647,0.01233
"GO:0046470","phosphatidylcholine metabolic process",4,3,0.67,0.75,0.01248
"GO:0000423","mitophagy",4,3,0.67,0.75,0.01248
"GO:0048268","clathrin coat assembly",4,3,0.67,0.75,0.01248
"GO:0043153","entrainment of circadian clock by photop...",7,4,1.17,0.571428571428571,0.01272
"GO:0034453","microtubule anchoring",7,4,1.17,0.571428571428571,0.01272
"GO:0009648","photoperiodism",7,4,1.17,0.571428571428571,0.01272
"GO:2000369","regulation of clathrin-dependent endocyt...",7,4,1.17,0.571428571428571,0.01272
"GO:0051058","negative regulation of small GTPase medi...",7,4,1.17,0.571428571428571,0.01272
