GO.ID,Term,Study
GO:0006119,oxidative phosphorylation,Yocum_2018
GO:0006412,translation,Yocum_2018
GO:0015986,ATP synthesis coupled proton transport,Yocum_2018
GO:0042254,ribosome biogenesis,Yocum_2018
GO:0015992,proton transmembrane transport,Yocum_2018
GO:0006118,electron transport,Yocum_2018
GO:0006446,retulation of translation initiation,Yocum_2018
GO:0005840,ribosome,Yocum_2018
GO:0005737,cytoplasm,Yocum_2018
GO:0045285,respiratory chain complex III,Yocum_2018
GO:0019773,"proteasome core complex, alpha-subunit complex",Yocum_2018
GO:0003735,structural constituent of ribosome,Yocum_2018
GO:0046961,"proton-transporting ATPase activity, rotational mechanism",Yocum_2018
GO:0004298,threonine-type endopeptidase activity,Yocum_2018
GO:0008121,ubiquinol-cytochrome-c-reductase activity,Yocum_2018
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",Yocum_2018
GO:0003743,translation initiation factor activity,Yocum_2018
GO:0005743,mitochondrial inner membrane,Santos_2018
GO:0070469,respirasome,Santos_2018
GO:1990204,oxidoreductase complex,Santos_2018
GO:0005759,mitochondrial matrix,Santos_2018
GO:0005758,mitochondrial intermembrane space,Santos_2018
GO:0005840,ribosome,Santos_2018
GO:0033177,proton-transporting two-sector ATPase complex,Santos_2018
GO:0033176,proton-transporting V-type ATPase complex,Santos_2018
GO:0005811,lipid droplet,Santos_2018
GO:0030170,pyridoxal phosphate binding,Santos_2018
GO:0008061,chiitin binding,Santos_2018
GO:0050662,obsolete coenzyme binding,Santos_2018
GO:0020037,heme binding,Santos_2018
GO:0004129,cytochrome-c oxidase activity,Santos_2018
GO:0008137,NADH dehydrogenase (ubiquinone) activity,Santos_2018
GO:0016879,"ligase activity, forming carbon-nitrogen bonds",Santos_2018
GO:0022804,active transmembrane transporter activity,Santos_2018
GO:0016853,isomerase activity,Santos_2018
GO:0030151,molybdenum ion binding,Santos_2018
GO:0043023,ribosomal large subunit binding,Santos_2018
GO:0004449,isocitrate dehydrogenase (NAD+) activity,Santos_2018
GO:0000287,magnesium ion binding,Santos_2018
GO:0008514,organic anion transmembrane transporter activity,Santos_2018
GO:0016836,hydro-lyase activity,Santos_2018
GO:0006099,tricarboxylic acid cycle,Santos_2018
GO:0015991,proton transmembrane transport,Santos_2018
GO:0006084,acetyl-CoA metabolic process,Santos_2018
GO:0071616,acyl-CoA biosynthetic process,Santos_2018
GO:0006030,chitin metabolic process,Santos_2018
GO:0006081,cellular aldehyde metabolic process,Santos_2018
GO:0015986,ATP synthesis coupled proton transport,Santos_2018
GO:0005975,carbohydrate metabolic process,Santos_2018
GO:0006412,translation,Santos_2018
GO:0043648,dicarboxylic acid metabolic process,Santos_2018
GO:0006633,fatty acid biosynthetic process,Santos_2018
GO:0046395,carboxylic acid catabolic process,Santos_2018
GO:0006520,cellular amino acid metabolic process,Santos_2018
GO:0042773,ATP synthesis coupled electron transport,Santos_2018
GO:0033875,ribonucleoside bisphosphate metabolic process,Santos_2018
GO:0034032,purine nucleoside bisphosphate metabolic process,Santos_2018
GO:0005524,ATP binding,Ragland_2017
GO:0005634,nucleus,Ragland_2017
GO:0005875,microtubule associated complex,Ragland_2017
GO:0006099,tricarboxylic acid cycle,Ragland_2017
GO:0006468,protein phosphorylation,Ragland_2017
GO:0007017,microtubule-based process,Ragland_2017
GO:0008017,microtubule binding,Ragland_2017
GO:0016021,integral component of membrane,Ragland_2017
GO:0048813,dendrite morphogenesis,Ragland_2017
