From	To	Species	Gene Name
410448	GB40076	Apis mellifera	carcinine transporter(LOC410448)
411779	GB49048	Apis mellifera	testis-specific serine/threonine-protein kinase 3-like(LOC411779)
409459	GB46069	Apis mellifera	lon protease homolog, mitochondrial(LOC409459)
410447	GB40075	Apis mellifera	importin subunit beta-1(LOC410447)
411778	GB49013	Apis mellifera	RNA-binding protein 8A(LOC411778)
727189	GB43964	Apis mellifera	geranylgeranyl pyrophosphate synthase(LOC727189)
409457	GB48693	Apis mellifera	eIF-2-alpha kinase activator GCN1(LOC409457)
410449	GB40145	Apis mellifera	uncharacterized LOC410449(LOC410449)
409456	GB42021	Apis mellifera	AT-rich interactive domain-containing protein 4B(LOC409456)
411775	GB40388	Apis mellifera	exocyst complex component 8(LOC411775)
411774	GB40510	Apis mellifera	protein SMG9(LOC411774)
410446	GB40071	Apis mellifera	uncharacterized LOC410446(LOC410446)
727185	GB41634	Apis mellifera	serine/threonine-protein kinase SMG1(LOC727185)
727186	GB12898	Apis mellifera	dolichol-phosphate mannosyltransferase subunit 3(LOC727186)
409451	GB48574	Apis mellifera	thioredoxin-2(LOC409451)
409450	GB45369	Apis mellifera	guanine nucleotide-binding protein subunit beta-like protein(LOC409450)
409455	GB43847	Apis mellifera	doublesex- and mab-3-related transcription factor A2-like(LOC409455)
409454	GB43848	Apis mellifera	glucose-induced degradation protein 8 homolog(LOC409454)
409452	GB48557	Apis mellifera	maltase A2-like(LOC409452)
724903	GB51930	Apis mellifera	protein tipE(LOC724903)
724901	GB50348	Apis mellifera	bleomycin hydrolase(LOC724901)
724900	GB41228	Apis mellifera	uncharacterized LOC724900(LOC724900)
724907	GB43358	Apis mellifera	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like(LOC724907)
724904	GB40013	Apis mellifera	acylphosphatase-2(LOC724904)
410451	GB40141	Apis mellifera	venom serine carboxypeptidase(LOC410451)
411781	GB50629	Apis mellifera	sodium/potassium/calcium exchanger 4-like(LOC411781)
727180	GB42919	Apis mellifera	Fanconi anemia group D2 protein(LOC727180)
550748	GB49553	Apis mellifera	stromal membrane-associated protein 1(LOC550748)
724909	GB48772	Apis mellifera	uncharacterized LOC724909(LOC724909)
550745	GB50643	Apis mellifera	NEDD8-activating enzyme E1 regulatory subunit(LOC550745)
410452	GB40085	Apis mellifera	carboxypeptidase B-like(LOC410452)
