Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	12	24.489795918367346	2.092284187500034E-4	FBGN0085442, FBGN0001233, FBGN0001079, FBGN0041203, FBGN0025885, FBGN0003044, FBGN0005596, FBGN0024909, FBGN0028982, FBGN0034722, FBGN0010355, FBGN0001301	49	909	13921	3.7505219909746077	0.018040071016499515	0.018202872431250294	0.017365958756250282
UP_KEYWORDS	ATP-binding	8	16.3265306122449	0.002826390372627561	FBGN0001233, FBGN0001079, FBGN0041203, FBGN0005640, FBGN0035397, FBGN0032781, FBGN0051140, FBGN0010355	49	558	13921	4.073147538585326	0.21826863273799668	0.12294798120929891	0.11729520046404378
GOTERM_CC_DIRECT	GO:0035327~transcriptionally active chromatin	3	6.122448979591836	0.006474665672672936	FBGN0028982, FBGN0034722, FBGN0035205	43	29	10026	24.12028869286287	0.38564281952615853	0.48559992545047015	0.48559992545047015
UP_KEYWORDS	Disulfide bond	8	16.3265306122449	0.007645949311930447	FBGN0050375, FBGN0025740, FBGN0000547, FBGN0033367, FBGN0000119, FBGN0037240, FBGN0034083, FBGN0000039	49	670	13921	3.3922631739262865	0.4871406592918972	0.15318111708789411	0.14613830710684153
UP_KEYWORDS	Serine/threonine-protein kinase	4	8.16326530612245	0.008524964922398712	FBGN0001079, FBGN0041203, FBGN0005640, FBGN0010355	49	122	13921	9.314821010371361	0.5251951467349196	0.15318111708789411	0.14613830710684153
UP_KEYWORDS	Nucleotide-binding	8	16.3265306122449	0.009693559564866831	FBGN0001233, FBGN0001079, FBGN0041203, FBGN0005640, FBGN0035397, FBGN0032781, FBGN0051140, FBGN0010355	49	701	13921	3.24224868263996	0.5714953855844709	0.15318111708789411	0.14613830710684153
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	3	6.122448979591836	0.012735121024440075	FBGN0001233, FBGN0028992, FBGN0031885	45	43	10996	17.048062015503877	0.9544468170218549	1.0	1.0
UP_KEYWORDS	Chaperone	3	6.122448979591836	0.01333079956948693	FBGN0001233, FBGN0028982, FBGN0086691	49	51	13921	16.711884753901558	0.6888808598440492	0.15318111708789411	0.14613830710684153
UP_KEYWORDS	Transcription regulation	6	12.244897959183673	0.013874814541170552	FBGN0005612, FBGN0003044, FBGN0024909, FBGN0028982, FBGN0034722, FBGN0010355	49	416	13921	4.097625588697017	0.7034564960591168	0.15318111708789411	0.14613830710684153
UP_KEYWORDS	Kinase	5	10.204081632653061	0.014319695098578417	FBGN0001079, FBGN0041203, FBGN0005640, FBGN0051140, FBGN0010355	49	273	13921	5.203334080885102	0.7148726584708717	0.15318111708789411	0.14613830710684153
UP_KEYWORDS	Selenocysteine	2	4.081632653061225	0.01712410443235531	FBGN0001112, FBGN0001301	49	5	13921	113.6408163265306	0.7774715504601566	0.15318111708789411	0.14613830710684153
UP_KEYWORDS	Transcription	6	12.244897959183673	0.017607024952631507	FBGN0005612, FBGN0003044, FBGN0024909, FBGN0028982, FBGN0034722, FBGN0010355	49	442	13921	3.856588789361898	0.7867855688550895	0.15318111708789411	0.14613830710684153
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	5	10.204081632653061	0.02130224643792014	FBGN0001079, FBGN0041203, FBGN0005640, FBGN0035397, FBGN0010355	45	266	10996	4.593149540517961	0.9944241569058557	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	8	16.3265306122449	0.021780298395739358	FBGN0085442, FBGN0001079, FBGN0003044, FBGN0005640, FBGN0035397, FBGN0025740, FBGN0000547, FBGN0040080	42	647	9284	2.7332008537572676	0.8319846984571067	1.0	1.0
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	4	8.16326530612245	0.02505077336555465	FBGN0005596, FBGN0031990, FBGN0010355, FBGN0037705	43	151	10026	6.176497766825812	0.8508408383292932	0.9394040012082994	0.9394040012082994
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	4	8.16326530612245	0.031141246929917998	FBGN0001079, FBGN0041203, FBGN0005640, FBGN0010355	42	156	9284	5.667887667887668	0.9228922830996841	1.0	1.0
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	4	8.16326530612245	0.03164962781049922	FBGN0005612, FBGN0024909, FBGN0028982, FBGN0031885	45	173	10996	5.649839434810534	0.9995696337172201	1.0	1.0
INTERPRO	IPR013783:Immunoglobulin-like fold	4	8.16326530612245	0.033632595761557624	FBGN0025740, FBGN0000547, FBGN0037240, FBGN0034083	45	177	10984	5.516133082234778	0.9942920103674873	1.0	1.0
SMART	SM00028:TPR	3	6.122448979591836	0.03601496618051067	FBGN0012058, FBGN0035205, FBGN0040080	26	63	5218	9.556776556776557	0.7608109112283802	1.0	1.0
INTERPRO	IPR019734:Tetratricopeptide repeat	3	6.122448979591836	0.03618413281344365	FBGN0012058, FBGN0035205, FBGN0040080	45	75	10984	9.763555555555556	0.9961708283385685	1.0	1.0
INTERPRO	IPR013026:Tetratricopeptide repeat-containing domain	3	6.122448979591836	0.03886410229607187	FBGN0012058, FBGN0035205, FBGN0040080	45	78	10984	9.388034188034188	0.9974851938304755	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	8	16.3265306122449	0.044192865109343935	FBGN0001233, FBGN0001079, FBGN0041203, FBGN0005640, FBGN0035397, FBGN0032781, FBGN0051140, FBGN0010355	42	751	9284	2.3547016676177797	0.9742965324071475	1.0	1.0
GOTERM_CC_DIRECT	GO:0016593~Cdc73/Paf1 complex	2	4.081632653061225	0.04915346360720969	FBGN0034722, FBGN0035205	43	12	10026	38.86046511627907	0.9771817589656316	1.0	1.0
GOTERM_BP_DIRECT	GO:0016570~histone modification	2	4.081632653061225	0.05461783682164667	FBGN0034722, FBGN0035205	45	14	10996	34.90793650793651	0.9999986775344065	1.0	1.0
UP_SEQ_FEATURE	compositionally biased region:Gln-rich	4	8.16326530612245	0.06162522291550523	FBGN0085442, FBGN0024909, FBGN0010355, FBGN0001301	19	160	3113	4.096052631578947	0.9979082797856008	1.0	1.0
UP_KEYWORDS	Cytoplasm	6	12.244897959183673	0.07047482626228979	FBGN0001233, FBGN0041203, FBGN0025885, FBGN0035397, FBGN0036300, FBGN0001301	49	646	13921	2.638718645352878	0.998267311188882	0.5482435006292582	0.5230369028991774
