taxid	gene_id	gene_symbol	GOID	evidence
FB	FBgn0010339	FBgn0010339	GO:0005525	IDA
FB	FBgn0010339	FBgn0010339	GO:0005525	IBA
FB	FBgn0010339	FBgn0010339	GO:0002181	IBA
FB	FBgn0010339	FBgn0010339	GO:0005737	IBA
FB	FBgn0020238	FBgn0020238	GO:0000077	IMP
FB	FBgn0020238	FBgn0020238	GO:0005737	IDA
FB	FBgn0020238	FBgn0020238	GO:0005634	IDA
FB	FBgn0020238	FBgn0020238	GO:0007088	IMP
FB	FBgn0020238	FBgn0020238	GO:0000077	IMP
FB	FBgn0020238	FBgn0020238	GO:0005694	IDA
FB	FBgn0020238	FBgn0020238	GO:0045172	IDA
FB	FBgn0020238	FBgn0020238	GO:0008103	IMP
FB	FBgn0020238	FBgn0020238	GO:0007294	IMP
FB	FBgn0020238	FBgn0020238	GO:0048190	IGI
FB	FBgn0020238	FBgn0020238	GO:0005515	IPI
FB	FBgn0020238	FBgn0020238	GO:0045927	IMP
FB	FBgn0020238	FBgn0020238	GO:0040008	IGI
FB	FBgn0020238	FBgn0020238	GO:0009411	IMP
FB	FBgn0020238	FBgn0020238	GO:0008340	IMP
FB	FBgn0020238	FBgn0020238	GO:0046982	IPI
FB	FBgn0020238	FBgn0020238	GO:0035332	IGI
FB	FBgn0020238	FBgn0020238	GO:0008134	IPI
FB	FBgn0020238	FBgn0020238	GO:0042994	IMP
FB	FBgn0020238	FBgn0020238	GO:0005886	HDA
FB	FBgn0020238	FBgn0020238	GO:0007280	IMP
FB	FBgn0020238	FBgn0020238	GO:0050815	IPI
FB	FBgn0020238	FBgn0020238	GO:0007411	IMP
FB	FBgn0020238	FBgn0020238	GO:0046579	HGI
FB	FBgn0020238	FBgn0020238	GO:0005737	HDA
FB	FBgn0020238	FBgn0020238	GO:0005634	HDA
FB	FBgn0020238	FBgn0020238	GO:0005737	HDA
FB	FBgn0020238	FBgn0020238	GO:0005654	HDA
FB	FBgn0020238	FBgn0020238	GO:0005813	HDA
FB	FBgn0020238	FBgn0020238	GO:0005515	IPI
FB	FBgn0020238	FBgn0020238	GO:0150013	IMP
