"tx_id","gene_id"
"rna-XM_623972.6","551580"
"rna-XR_001705490.2","551580"
"rna-XR_001705491.2","551580"
"rna-XM_006557405.3","551555"
"rna-XM_006557404.3","551555"
"rna-XM_006557406.3","551555"
"rna-XM_623949.6","551555"
"rna-XM_026446303.1","726347"
"rna-XM_026439913.1","409940"
"rna-NM_001242554.1","409940"
"rna-XM_016917677.1","726145"
"rna-XM_016917679.2","726145"
"rna-XM_016917662.2","551448"
"rna-XM_026440071.1","551448"
"rna-XM_016917667.2","551448"
"rna-XM_006557400.3","551448"
"rna-XM_016917672.2","551448"
"rna-XM_394142.7","410665"
"rna-XM_392111.7","408567"
"rna-XM_016910856.2","107964061"
"rna-XM_016910851.2","107964061"
"rna-XR_001702207.2","107964068"
"rna-XM_026443867.1","113219112"
"rna-XM_006557392.2","726450"
"rna-XR_001702201.2","107964063"
"rna-XM_026443863.1","113219111"
"rna-XM_006557388.1","410664"
"rna-XM_394141.4","410664"
"rna-XM_026443894.1","410664"
"rna-XM_006557389.3","410664"
"rna-XM_392109.6","408565"
"rna-XM_006557391.3","408565"
"rna-XM_016910832.2","408565"
"rna-XM_394140.7","410663"
"rna-XM_006557387.3","410663"
"rna-XM_026446104.1","113219398"
"rna-XM_016910810.2","726544"
"rna-XM_006557385.3","726544"
"rna-XM_006557379.3","726544"
"rna-XM_006557384.3","726544"
"rna-XM_006557382.3","726544"
"rna-XM_006557383.3","726544"
"rna-XM_006557386.3","726544"
"rna-XM_001122271.5","726544"
"rna-XM_006557381.3","726544"
"rna-XM_006557380.3","726544"
"rna-XM_016910803.2","726544"
"rna-XM_006557376.3","726544"
"rna-XM_016910793.2","726544"
"rna-NR_031523.1","732506"
"rna-Mir2-2","732506"
"rna-NR_031522.1","732505"
"rna-NR_127369.1","104796173"
"rna-Mir2-1","732505"
"rna-Mir2b","104796173"
"rna-NR_034307.1","100315690"
"rna-Mir13b","100315690"
"rna-NR_034285.1","100315660"
"rna-Mir13a","100315660"
"rna-NR_034287.1","100315662"
"rna-Mir2-3","100315662"
"rna-NR_034296.1","100315669"
"rna-Mir71","100315669"
"rna-XR_003305810.1","410772"
"rna-XM_026444102.1","410772"
"rna-XM_394248.6","410772"
"rna-XM_026446225.1","551203"
"rna-XM_026446227.1","551203"
"rna-XM_026446228.1","551203"
"rna-XM_026446229.1","551203"
"rna-XM_026446230.1","551203"
"rna-XM_026446226.1","551203"
"rna-XM_026446232.1","551203"
"rna-XM_026446233.1","551203"
"rna-XM_026446234.1","551203"
"rna-XM_026446237.1","551203"
"rna-XM_026446235.1","551203"
"rna-XM_026446236.1","551203"
"rna-XM_026446231.1","551203"
"rna-XM_026446242.1","100578621"
"rna-XM_016910677.2","100578621"
"rna-XM_026446240.1","100578621"
"rna-XM_026446239.1","100578621"
"rna-XM_026446241.1","100578621"
"rna-XM_001120565.5","726446"
"rna-XM_003249064.4","100578600"
"rna-XM_016918148.2","410771"
"rna-XM_016918144.2","410771"
"rna-XM_006557369.3","410771"
"rna-XM_016918147.2","410771"
"rna-XM_016910683.2","100578571"
"rna-NR_039462.1","100629100"
"rna-Mir3768","100629100"
"rna-XM_006557372.3","410771"
"rna-XM_006557374.3","102654047"
"rna-XM_026441502.1","100577692"
"rna-XR_001706010.2","100577692"
"rna-XR_001706008.2","100577692"
"rna-XR_003304966.1","100577692"
"rna-XR_001706027.2","107965716"
"rna-XM_394245.6","410769"
"rna-XM_016916693.2","410769"
"rna-NM_001141964.1","100216325"
"rna-XR_003306183.1","113219286"
"rna-XM_003249062.4","100578334"
"rna-XM_001122476.5","726756"
"rna-XR_407471.3","726756"
"rna-XR_407453.3","410767"
"rna-NM_001204751.1","410767"
"rna-NR_039460.1","100629079"
"rna-Mir3766","100629079"
"rna-XM_006557358.3","726609"
"rna-XM_016914916.2","726609"
"rna-XM_006557359.3","726609"
"rna-XM_001122509.5","726788"
"rna-XM_016917834.2","100578031"
"rna-XM_026441961.1","100578031"
"rna-XM_006557357.3","100578031"
"rna-XM_016917835.2","100578031"
"rna-XR_001706436.2","107966044"
"rna-XM_006557355.2","410766"
"rna-XM_006557354.2","410766"
"rna-XM_026446332.1","410766"
"rna-XM_026446257.1","551646"
"rna-TRNAK-CUU","107966077"
"rna-XM_026446333.1","113219417"
"rna-XM_026446258.1","113219404"
"rna-XM_006557352.3","551678"
"rna-XM_624067.5","551678"
"rna-TRNAQ-CUG","107966076"
"rna-XM_026439854.1","726886"
"rna-XR_407459.3","100577848"
"rna-XR_003306169.1","113219278"
"rna-XM_016917790.2","408626"
"rna-XM_016917789.2","408626"
"rna-XM_006557350.3","408626"
"rna-XM_006557351.3","408626"
"rna-XR_407457.3","102655614"
"rna-XM_016917650.2","726912"
"rna-NR_039432.1","100628995"
"rna-Mir2788","100628995"
"rna-NR_039430.1","100629094"
"rna-Mir193","100629094"
"rna-XR_003304627.1","102655442"
"rna-XR_407455.3","102655442"
"rna-XM_026440446.1","726912"
"rna-XR_003304626.1","107965930"
"rna-XR_003306182.1","113219285"
"rna-XR_003306485.1","100576602"
"rna-XR_003306483.1","100576602"
"rna-XM_026446031.1","113218530"
"rna-XR_407902.3","100576537"
"rna-XR_003306479.1","100576602"
"rna-XR_407901.3","100576602"
"rna-XR_003306482.1","100576602"
"rna-XR_001702155.2","100576602"
"rna-XR_003306480.1","100576602"
"rna-XR_003306484.1","100576602"
"rna-XR_003306481.1","100576602"
"rna-XM_006558554.3","100576700"
"rna-TRNAS-CGA","107966080"
"rna-XR_003306491.1","113219393"
"rna-XR_001702156.2","102653619"
"rna-XR_003306486.1","102653619"
"rna-XR_003306487.1","102653619"
"rna-XR_003306488.1","102653619"
"rna-XR_003306489.1","102653619"
"rna-XR_003306490.1","102653619"
