amel.gene,dmel.gene
412093,FBgn0053526
412646,FBgn0028572
408271,FBgn0264895
411009,FBgn0005677
725359,FBgn0053508
413683,FBgn0050372
406123,FBgn0263102
408972,FBgn0002789
408563,FBgn0013765
113219136,FBgn0053506
410879,FBgn0053505
724791,FBgn0053544
408519,FBgn0035001
100191002,FBgn0066084
412092,FBgn0265434
409739,FBgn0053523
408622,FBgn0001208
409643,FBgn0014163
410383,FBgn0261872
552844,FBgn0041605
725942,FBgn0250732
724823,FBgn0053512
408337,FBgn0266756
413994,FBgn0003429
413994,FBgn0003429
413994,FBgn0003429
411812,FBgn0265998
726476,FBgn0039738
726671,FBgn0085432
551261,FBgn0259214
551261,FBgn0259214
726761,FBgn0005561
409665,FBgn0250819
411828,FBgn0005427
113219217,FBgn0053557
412806,FBgn0052576
409119,FBgn0261573
408995,FBgn0053517
411968,FBgn0040038
411619,FBgn0260987
552567,FBgn0024804
412578,FBgn0040020
410672,FBgn0039943
409457,FBgn0039959
409560,FBgn0020660
552287,FBgn0046706
410336,FBgn0263780
552727,FBgn0267976
411959,FBgn0040001
411894,FBgn0267433
412775,FBgn0001313
408653,FBgn0053653
409722,FBgn0284408
726131,FBgn0027358
724078,FBgn0064123
102656914,FBgn0064116
102655778,FBgn0024182
102655356,FBgn0053696
102656134,FBgn0037555
100577783,FBgn0262717
412678,FBgn0037912
408689,FBgn0037913
113218590,FBgn0040077
727300,FBgn0040076
411493,FBgn0053635
102654014,FBgn0031454
726088,FBgn0260439
410097,FBgn0002887
408633,FBgn0052831
408633,FBgn0052831
100576960,FBgn0004407
113218895,FBgn0064115
100188940,FBgn0053774
552771,FBgn0061356
726348,FBgn0033564
100576552,FBgn0033628
411673,FBgn0033739
727306,FBgn0061360
725273,FBgn0283508
102653930,FBgn0061362
725234,FBgn0061361
409468,FBgn0034903
410600,FBgn0265140
724169,FBgn0001297
409276,FBgn0039924
411871,FBgn0027101
411315,FBgn0263512
408370,FBgn0030522
100578733,FBgn0260006
552803,FBgn0054015
409366,FBgn0031285
410158,FBgn0261458
