#SUBMITTED ID	INSECTA_ORTHOLOGS
FBgn0000039	Aflo\2852198020 <newline> Aflo\2975933556 <newline> Aflo\2147487987 <newline> Aflo\3262181268 <newline> Aflo\2975933652 <newline> Amel\GB40923 <newline> Amel\nAChRa2 <newline> Amel\GB42850 <newline> Amel\GB47845 <newline> Amel\GB43275 <newline> Apim\ACYPI008734 <newline> Apim\ACYPI085561 <newline> Apim\ACYPI003001 <newline> Apim\ACYPI003091 <newline> Apim\ACYPI007606 <newline> Bimp\BIMP11740 <newline> Bimp\BIMP16698 <newline> Bimp\BIMP11384 <newline> Bimp\BIMP25312 <newline> Bimp\BIMP25355 <newline> Bmor\BGIBMGA012416 <newline> Bmor\BGIBMGA012422 <newline> Bmor\BGIBMGA012446 <newline> Bmor\BGIBMGA002556 <newline> Bmor\BGIBMGA012562 <newline> Bter\15207320 <newline> Bter\15207032 <newline> Bter\15206093 <newline> Bter\15216233 <newline> Bter\15207319 <newline> Clec\CLEC003817 <newline> Clec\CLEC004294 <newline> Clec\CLEC004287 <newline> Clec\CLEC001851 <newline> Clec\CLEC004290 <newline> Dple\DPOGS208586-PA <newline> Dple\DPOGS208884-PA <newline> Dple\DPOGS209545-PA <newline> Dple\DPOGS209553-PA <newline> Dple\DPOGS200030-PA <newline> Dpod\YQE_08965 <newline> Dpod\YQE_12938 <newline> Dpod\YQE_01576 <newline> Dpod\YQE_02777 <newline> Hmel\HMEL003687 <newline> Hmel\HMEL016536 <newline> Hmel\HMEL007178 <newline> Hmel\HMEL016530 <newline> Hmel\HMEL002646 <newline> Lhum\LH23332 <newline> Lhum\LH12385 <newline> Lhum\LH23821 <newline> Lhum\LH26249 <newline> Lhum\LH24927 <newline> Mrot\MROTU:000492 <newline> Mrot\MROTU:000148 <newline> Mrot\MROTU:00230f <newline> Mrot\MROTU:00048f <newline> Mrot\MROTU:001d6a <newline> Nvit\Nasvi2EG001174 <newline> Nvit\Nasvi2EG006214 <newline> Nvit\Nasvi2EG000472 <newline> Nvit\Nasvi2EG000473 <newline> Nvit\Nasvi2EG010934 <newline> Phum\PHUM049620 <newline> Phum\PHUM114670 <newline> Phum\PHUM114690 <newline> Phum\PHUM050040 <newline> Phum\PHUM114660 <newline> Rpro\RPRC004364 <newline> Rpro\RPRC010243 <newline> Rpro\RPRC012916 <newline> Rpro\RPRC009134 <newline> Rpro\RPRC003095 <newline> Tcas\nAChRA3 <newline> Tcas\TC012852 <newline> Tcas\TC001018 <newline> Tcas\nAChRA4 <newline> Tcas\TC004838 <newline> Tcas\TC004836 <newline> Znev\Znev_00564 <newline> Znev\Znev_16603 <newline> Znev\Znev_00562 <newline> Znev\Znev_05362
FBgn0000119	Aflo\3695197284 <newline> Amel\GB51660 <newline> Bimp\BIMP15295 <newline> Bmor\BGIBMGA001048 <newline> Bter\15208582 <newline> Clec\CLEC005797 <newline> Dple\DPOGS200714-PA <newline> Dpod\YQE_04525 <newline> Hmel\HMEL010093 <newline> Lhum\LH18031 <newline> Mrot\MROTU:001908 <newline> Nvit\Nasvi2EG009194 <newline> Phum\PHUM086410 <newline> Tcas\GLEAN_08151 <newline> Znev\Znev_14170
FBgn0000547	Aflo\2184453620 <newline> Amel\GB44117 <newline> Apim\ACYPI002547 <newline> Bimp\BIMP10548 <newline> Bmor\BGIBMGA010335 <newline> Bter\15204775 <newline> Clec\CLEC004297 <newline> Dple\DPOGS208547-PA <newline> Dpod\YQE_08102 <newline> Hmel\HMEL008765 <newline> Lhum\LH17520 <newline> Mrot\MROTU:0007c6 <newline> Nvit\Nasvi2EG003164 <newline> Phum\PHUM153960 <newline> Rpro\RPRC003448 <newline> Tcas\TC012257 <newline> Znev\Znev_14998
FBgn0001079	Aflo\3797969428 <newline> Amel\fu <newline> Apim\ACYPI009698 <newline> Bimp\BIMP23509 <newline> Bmor\BGIBMGA006914 <newline> Bter\15210092 <newline> Clec\CLEC001755 <newline> Dple\DPOGS213006-PA <newline> Dpod\YQE_10912 <newline> Hmel\HMEL005065 <newline> Lhum\LH21347 <newline> Mrot\MROTU:00176b <newline> Nvit\Nasvi2EG008850 <newline> Phum\PHUM320060 <newline> Rpro\RPRC003744 <newline> Tcas\TC006833 <newline> Tcas\TC031899 <newline> Tcas\TC008611 <newline> Tcas\TC034941 <newline> Znev\Znev_00953
FBgn0001112	Aflo\2147500051 <newline> Aflo\2246290724 <newline> Aflo\3874513764 <newline> Aflo\2268280532 <newline> Aflo\2147483713 <newline> Aflo\2268280660 <newline> Aflo\2268282084 <newline> Aflo\2147488051 <newline> Amel\GB40842 <newline> Amel\GB44548 <newline> Amel\GMCOX18 <newline> Amel\GB44549 <newline> Amel\LOC410744 <newline> Amel\GMCOX13 <newline> Amel\GB51814 <newline> Amel\GB51812 <newline> Amel\GMCOX6 <newline> Amel\GMCOX7 <newline> Amel\GB51821 <newline> Amel\GB51813 <newline> Amel\GMCOX9 <newline> Apim\ACYPI067812 <newline> Apim\ACYPI003258 <newline> Apim\ACYPI064024 <newline> Apim\ACYPI002396 <newline> Apim\ACYPI005785 <newline> Apim\ACYPI005141 <newline> Apim\ACYPI002264 <newline> Apim\ACYPI000159 <newline> Apim\ACYPI004299 <newline> Apim\ACYPI004741 <newline> Apim\ACYPI004712 <newline> Apim\ACYPI008680 <newline> Apim\ACYPI000437 <newline> Apim\ACYPI004976 <newline> Apim\ACYPI086555 <newline> Apim\ACYPI003222 <newline> Apim\ACYPI001336 <newline> Apim\ACYPI009525 <newline> Apim\ACYPI008961 <newline> Apim\ACYPI010188 <newline> Apim\ACYPI004882 <newline> Apim\ACYPI008428 <newline> Apim\ACYPI004035 <newline> Apim\ACYPI006872 <newline> Apim\ACYPI009386 <newline> Bimp\BIMP18189 <newline> Bimp\BIMP18191 <newline> Bimp\BIMP18195 <newline> Bimp\BIMP18829 <newline> Bimp\BIMP20593 <newline> Bimp\BIMP20599 <newline> Bimp\BIMP18828 <newline> Bimp\BIMP20560 <newline> Bimp\BIMP20600 <newline> Bimp\BIMP20595 <newline> Bimp\BIMP20598 <newline> Bimp\BIMP18193 <newline> Bimp\BIMP24810 <newline> Bimp\BIMP24411 <newline> Bimp\BIMP20594 <newline> Bimp\BIMP17103 <newline> Bimp\BIMP18192 <newline> Bimp\BIMP18780 <newline> Bimp\BIMP19060 <newline> Bmor\BGIBMGA007376 <newline> Bmor\BGIBMGA012863 <newline> Bmor\BGIBMGA013000 <newline> Bmor\BGIBMGA013009 <newline> Bmor\BGIBMGA013215 <newline> Bmor\BGIBMGA013002 <newline> Bmor\BGIBMGA013007 <newline> Bmor\BGIBMGA013006 <newline> Bmor\BGIBMGA012996 <newline> Bmor\BGIBMGA013001 <newline> Bmor\BGIBMGA013005 <newline> Bmor\BGIBMGA013008 <newline> Bmor\BGIBMGA013003 <newline> Bter\15211660 <newline> Bter\15209286 <newline> Bter\15202463 <newline> Bter\15202467 <newline> Bter\15211659 <newline> Bter\15210582 <newline> Bter\15203842 <newline> Bter\15201694 <newline> Bter\15209278 <newline> Bter\15203538 <newline> Bter\15216603 <newline> Bter\15209279 <newline> Bter\15216604 <newline> Bter\15202465 <newline> Bter\15201521 <newline> Bter\15210579 <newline> Bter\15209280 <newline> Bter\15208765 <newline> Bter\15209285 <newline> Bter\15210584 <newline> Bter\15209968 <newline> Clec\CLEC005876 <newline> Clec\CLEC006211 <newline> Clec\CLEC005872 <newline> Clec\CLEC006209 <newline> Clec\CLEC004838 <newline> Clec\CLEC009073 <newline> Clec\CLEC002930 <newline> Clec\CLEC012738 <newline> Clec\CLEC002682 <newline> Clec\CLEC007183 <newline> Clec\CLEC002994 <newline> Clec\CLEC002681 <newline> Clec\CLEC005877 <newline> Clec\CLEC005873 <newline> Clec\CLEC001112 <newline> Clec\CLEC004057 <newline> Clec\CLEC006210 <newline> Clec\CLEC006212 <newline> Clec\CLEC012739 <newline> Clec\CLEC006046 <newline> Dple\DPOGS207058-PA <newline> Dple\DPOGS207055-PA <newline> Dple\DPOGS207053-PA <newline> Dple\DPOGS207060-PA <newline> Dple\DPOGS207054-PA <newline> Dple\DPOGS213187-PA <newline> Dple\DPOGS205789-PA <newline> Dple\DPOGS206908-PA <newline> Dple\DPOGS207057-PA <newline> Dple\DPOGS207059-PA <newline> Dple\DPOGS207052-PA <newline> Dple\DPOGS207061-PA <newline> Dple\DPOGS212710-PA <newline> Dpod\YQE_10888 <newline> Dpod\YQE_10795 <newline> Dpod\YQE_10631 <newline> Dpod\YQE_11868 <newline> Dpod\YQE_11867 <newline> Dpod\YQE_04236 <newline> Dpod\YQE_08542 <newline> Dpod\YQE_11866 <newline> Hmel\HMEL010191 <newline> Hmel\HMEL010190 <newline> Hmel\HMEL014154 <newline> Hmel\HMEL009418 <newline> Hmel\HMEL010189 <newline> Hmel\HMEL010460 <newline> Hmel\HMEL010283 <newline> Hmel\HMEL010504 <newline> Hmel\HMEL022537 <newline> Hmel\HMEL010194 <newline> Lhum\LH25533 <newline> Lhum\LH25532 <newline> Lhum\LH25538 <newline> Lhum\LH24049 <newline> Lhum\LH13844 <newline> Lhum\LH25539 <newline> Lhum\LH19459 <newline> Lhum\LH25535 <newline> Lhum\LH25537 <newline> Lhum\LH15063 <newline> Lhum\LH19196 <newline> Lhum\LH18149 <newline> Lhum\LH23078 <newline> Lhum\LH13852 <newline> Mrot\MROTU:00311c <newline> Mrot\MROTU:001f13 <newline> Mrot\MROTU:001f0e <newline> Mrot\MROTU:001f0d <newline> Mrot\MROTU:001f12 <newline> Mrot\MROTU:001f95 <newline> Mrot\MROTU:001f14 <newline> Mrot\MROTU:0014a2 <newline> Mrot\MROTU:001f15 <newline> Mrot\MROTU:00311d <newline> Mrot\MROTU:001f0f <newline> Nvit\Nasvi2EG010337 <newline> Nvit\Nasvi2EG011772 <newline> Nvit\Nasvi2EG007114 <newline> Nvit\Nasvi2EG011769 <newline> Nvit\Nasvi2EG010356 <newline> Nvit\Nasvi2EG011765 <newline> Nvit\Nasvi2EG004733 <newline> Nvit\Nasvi2EG010335 <newline> Nvit\Nasvi2EG011764 <newline> Nvit\Nasvi2EG011770 <newline> Nvit\Nasvi2EG011763 <newline> Nvit\Nasvi2EG015670 <newline> Nvit\Nasvi2EG018257 <newline> Nvit\Nasvi2EG011774 <newline> Nvit\Nasvi2EG006388 <newline> Nvit\Nasvi2EG020209 <newline> Nvit\Nasvi2EG019478 <newline> Nvit\Nasvi2EG011773 <newline> Nvit\Nasvi2EG000762 <newline> Nvit\Nasvi2EG015669 <newline> Nvit\Nasvi2EG017535 <newline> Nvit\Nasvi2EG005497 <newline> Phum\PHUM448790 <newline> Phum\PHUM448810 <newline> Phum\PHUM448880 <newline> Phum\PHUM448830 <newline> Phum\PHUM448780 <newline> Phum\PHUM448870 <newline> Phum\PHUM269250 <newline> Phum\PHUM254550 <newline> Phum\PHUM448820 <newline> Phum\PHUM172690 <newline> Rpro\RPRC010488 <newline> Rpro\RPRC001671 <newline> Rpro\RPRC001944 <newline> Rpro\RPRC009999 <newline> Rpro\RPRC004942 <newline> Rpro\RPRC010570 <newline> Rpro\RPRC014954 <newline> Rpro\RPRC009037 <newline> Rpro\RPRC011457 <newline> Rpro\RPRC013658 <newline> Rpro\RPRC004278 <newline> Rpro\RPRC005296 <newline> Rpro\RPRC014370 <newline> Rpro\RPRC011093 <newline> Rpro\RPRC001672 <newline> Tcas\TC032860 <newline> Tcas\TC033429 <newline> Tcas\TC034017 <newline> Tcas\GLEAN_15719 <newline> Tcas\TC015723 <newline> Tcas\TC002612 <newline> Tcas\GLEAN_15717 <newline> Tcas\GLEAN_15715 <newline> Tcas\GLEAN_15700 <newline> Tcas\GLEAN_15718 <newline> Tcas\TC033430 <newline> Tcas\TC005906 <newline> Tcas\TC010931 <newline> Tcas\TC005995 <newline> Tcas\GLEAN_08348 <newline> Tcas\TC016355 <newline> Tcas\GLEAN_15721 <newline> Tcas\GLEAN_15712 <newline> Tcas\TC032565 <newline> Tcas\TC033300 <newline> Znev\Znev_10247 <newline> Znev\Znev_12711 <newline> Znev\Znev_01993 <newline> Znev\Znev_05361 <newline> Znev\Znev_12919 <newline> Znev\Znev_10245 <newline> Znev\Znev_16345 <newline> Znev\Znev_10246 <newline> Znev\Znev_18427 <newline> Znev\Znev_04916 <newline> Znev\Znev_05498 <newline> Znev\Znev_02785 <newline> Znev\Znev_15896 <newline> Znev\Znev_10248 <newline> Znev\Znev_01136 <newline> Znev\Znev_18229
FBgn0001233	Aflo\2224274180 <newline> Aflo\3061904660 <newline> Amel\Hsp90 <newline> Amel\GB45495 <newline> Apim\ACYPI009380 <newline> Apim\ACYPI002010 <newline> Bimp\BIMP22224 <newline> Bimp\BIMP19787 <newline> Bmor\hsp90 <newline> Bter\15209820 <newline> Bter\15212277 <newline> Clec\CLEC002743 <newline> Dple\DPOGS213899-PA <newline> Dpod\YQE_06136 <newline> Hmel\HMEL006062 <newline> Lhum\LH15144 <newline> Lhum\LH22981 <newline> Mrot\MROTU:001977 <newline> Mrot\MROTU:003189 <newline> Nvit\Nasvi2EG004256 <newline> Nvit\Nasvi2EG000020 <newline> Phum\PHUM581090 <newline> Rpro\RPRC003899 <newline> Rpro\RPRC014677 <newline> Tcas\TC014606 <newline> Znev\Znev_06463
FBgn0001301	Aflo\2724277748 <newline> Amel\GB51148 <newline> Apim\ACYPI007299 <newline> Apim\ACYPI002459 <newline> Apim\ACYPI007284 <newline> Apim\ACYPI072173 <newline> Apim\ACYPI001725 <newline> Apim\ACYPI005716 <newline> Apim\ACYPI072135 <newline> Apim\ACYPI008780 <newline> Apim\ACYPI002753 <newline> Apim\ACYPI071205 <newline> Apim\ACYPI30452 <newline> Apim\ACYPI005835 <newline> Apim\ACYPI062445 <newline> Apim\ACYPI31704 <newline> Apim\ACYPI005104 <newline> Apim\ACYPI081221 <newline> Apim\ACYPI47564 <newline> Apim\ACYPI002235 <newline> Apim\ACYPI067553 <newline> Apim\ACYPI24427 <newline> Apim\ACYPI008803 <newline> Apim\ACYPI065155 <newline> Apim\ACYPI071998 <newline> Apim\ACYPI38392 <newline> Apim\ACYPI40866 <newline> Apim\ACYPI063382 <newline> Apim\ACYPI009184 <newline> Apim\ACYPI007780 <newline> Bimp\BIMP25022 <newline> Bmor\BGIBMGA007372 <newline> Bter\15202747 <newline> Clec\CLEC009433 <newline> Dple\DPOGS213184-PA <newline> Dpod\YQE_06945 <newline> Dpod\YQE_06946 <newline> Hmel\HMEL010287 <newline> Lhum\LH12872 <newline> Mrot\MROTU:0008bd <newline> Phum\PHUM332100 <newline> Rpro\RPRC007850 <newline> Tcas\TC005972 <newline> Tcas\TC005973 <newline> Znev\Znev_00634
FBgn0003044	Aflo\2904621236 <newline> Amel\Pcl <newline> Apim\ACYPI080331 <newline> Apim\ACYPI008514 <newline> Bimp\BIMP25778 <newline> Bmor\BGIBMGA007840 <newline> Bter\15212759 <newline> Clec\CLEC002814 <newline> Dple\DPOGS204497-PA <newline> Dpod\YQE_07749 <newline> Hmel\HMEL007824 <newline> Lhum\LH21649 <newline> Mrot\MROTU:002865 <newline> Nvit\Nasvi2EG009796 <newline> Phum\PHUM339230 <newline> Rpro\RPRC001405 <newline> Tcas\TC004391 <newline> Znev\Znev_08387
FBgn0005596	Aflo\3458235124 <newline> Amel\GB55632 <newline> Apim\ACYPI010220 <newline> Bimp\BIMP20541 <newline> Bmor\BGIBMGA009367 <newline> Bter\15214927 <newline> Clec\CLEC012707 <newline> Dple\DPOGS207398-PA <newline> Dpod\YQE_08665 <newline> Hmel\HMEL015622 <newline> Lhum\LH12613 <newline> Mrot\MROTU:002e2a <newline> Nvit\Nasvi2EG008927 <newline> Phum\PHUM122550 <newline> Rpro\RPRC009429 <newline> Rpro\RPRC009412 <newline> Tcas\GLEAN_08303
FBgn0005612	Aflo\2154237604 <newline> Amel\GB45639 <newline> Apim\ACYPI22575 <newline> Bimp\BIMP18924 <newline> Bmor\BGIBMGA004151 <newline> Bter\15216539 <newline> Clec\CLEC005968 <newline> Dple\DPOGS209911-PA <newline> Dpod\YQE_05368 <newline> Hmel\HMEL008012 <newline> Lhum\LH12022 <newline> Mrot\MROTU:0026c7 <newline> Nvit\Nasvi2EG003506 <newline> Phum\PHUM199330 <newline> Tcas\TC008936 <newline> Znev\Znev_04641
